Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
151,Thomas Bryant,27,IND,C,20,0,8.4,0.8,1.7,48.5,0.5,0.9,50.0,0.4,0.8,46.7,62.1,0.6,0.7,78.60000000000001,0.4,1.0,1.4,0.2,0.2,0.3,0.4,1.3,2.6,,2.0
152,Luka Garza,26,MIN,C,5,0,3.8,1.2,1.2,10.0,0.2,0.2,10.0,1.0,1.0,10.0,108300.0,0.0,0.0,,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.2,2.6,,3.0
153,Gui Santos,22,GSW,PF,10,0,7.2,0.9,1.7,52.900000000000006,0.4,1.0,40.0,0.5,0.7,71.39999999999999,64.7,0.4,0.6,66.7,0.3,0.9,1.2,0.8,0.3,0.1,0.6,1.0,2.6,,2.3999999999999995
154,Jaylin Williams,22,OKC,PF,17,0,8.3,0.9,2.1,42.9,0.5,1.5,36.0,0.4,0.6,60.0,55.7,0.4,0.6,54.50000000000001,0.2,1.6,1.9,1.0,0.5,0.1,0.7,1.8,2.6,,2.1999999999999993
155,Javonte Green,31,CLE,SG,6,0,6.5,0.7,1.7,40.0,0.2,0.8,20.0,0.5,0.8,60.0,45.0,1.0,1.0,10.0,0.2,1.3,1.5,0.3,0.7,0.0,0.3,0.3,2.5,,3.4
156,Dalton Knecht,23,LAL,SF,2,0,2.0,1.0,2.5,40.0,0.5,2.0,25.0,0.5,0.5,10.0,50.0,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,2.5,,2.5
157,Neemias Queta,25,BOS,C,4,0,3.3,1.3,1.5,83.3,0.0,0.0,,1.3,1.5,83.3,83.3,0.0,0.0,,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.5,2.5,,3.0999999999999996
158,Landry Shamet,27,NYK,SG,11,0,7.5,0.8,1.8,45.0,0.6,1.4,46.7,0.2,0.5,40.0,62.5,0.1,0.4,25.0,0.0,0.4,0.4,0.7,0.1,0.0,0.4,0.5,2.4,,1.4
159,Kenrich Williams,30,OKC,PF,16,0,8.6,1.0,2.5,40.0,0.3,1.3,20.0,0.8,1.3,60.0,45.0,0.2,0.4,50.0,0.5,1.7,2.2,0.4,0.4,0.1,0.4,0.4,2.4,,3.0
160,Dillon Jones,23,OKC,SF,10,0,4.6,0.9,1.1,81.8,0.3,0.4,75.0,0.6,0.7,85.7,95.5,0.2,0.2,10.0,0.3,0.6,0.9,0.5,0.1,0.1,0.6,0.4,2.3,,2.6999999999999997
161,Jordan Miller,25,LAC,SF,3,0,4.3,1.0,2.3,42.9,0.0,0.3,0.0,1.0,2.0,50.0,42.9,0.3,0.7,50.0,0.0,0.7,0.7,1.3,1.0,0.0,0.0,0.0,2.3,,3.6
162,Tristan Thompson,33,CLE,C,3,0,9.7,1.0,2.0,50.0,0.0,0.0,,1.0,2.0,50.0,50.0,0.3,1.0,33.300000000000004,0.7,4.3,5.0,0.3,0.3,0.7,0.7,0.7,2.3,,5.5
163,Cole Anthony,24,ORL,PG,5,0,10.2,0.8,2.8,28.6,0.0,1.2,0.0,0.8,1.6,50.0,28.6,0.6,0.8,75.0,0.6,0.8,1.4,1.2,0.0,0.2,1.8,2.4,2.2,,-1.4000000000000004
164,Jaylen Clark,23,MIN,SG,5,0,5.6,0.8,1.0,80.0,0.0,0.2,0.0,0.8,0.8,10.0,80.0,0.6,0.8,75.0,0.4,1.0,1.4,0.2,0.4,0.0,0.2,0.4,2.2,,3.2
165,Kevon Looney,28,GSW,C,12,0,10.0,0.8,1.9,43.5,0.0,0.0,,0.8,1.9,43.5,43.5,0.5,0.7,75.0,1.4,2.2,3.6,0.3,0.4,0.3,0.2,2.3,2.2,,3.000000000000001
166,Cameron Payne,30,NYK,PG,14,0,7.3,0.9,2.6,32.4,0.4,1.5,23.8,0.5,1.1,43.8,39.2,0.1,0.2,33.300000000000004,0.0,0.6,0.6,0.6,0.4,0.1,0.5,1.6,2.1,,-0.10000000000000009
167,Pat Connaughton,32,MIL,SG,3,0,4.7,0.7,2.7,25.0,0.3,1.3,25.0,0.3,1.3,25.0,31.3,0.3,0.7,50.0,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,2.0,,0.0
168,Maxi Kleber,33,LAL,PF,1,0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,-1.0
169,Jock Landale,29,HOU,C,1,0,5.0,1.0,2.0,50.0,0.0,0.0,,1.0,2.0,50.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.0
